iteration,loss
0,2.6748507420540846
1,2.0609908514112534
2,1.922138727629575
3,1.8518951017713272
4,1.7912606799508481
5,1.7358543554075099
6,1.6946337977663188
7,1.6656107675336123
8,1.6433096748126974
9,1.6262090148306099
10,1.6117971116793521
11,1.599713483442729
12,1.5917808939623812
13,1.583778272765874
14,1.5752616518020903
15,1.5671937050253162
16,1.5615850053976164
17,1.555655412849694
18,1.5487435912862713
19,1.543996970560911
20,1.5391244222192662
21,1.5318553622456257
22,1.5286391053526458
23,1.523312331506722
24,1.5189598421671187
25,1.514877839907614
26,1.509857443626411
27,1.5082306789090427
28,1.503509516260917
29,1.5005411490649536
30,1.4962761033404472
31,1.491385318370294
32,1.4889270317615468
33,1.4852425416587012
34,1.4824338400212196
35,1.4793432051597186
36,1.4755440804438906
37,1.4728642428217769
38,1.4699111377055696
39,1.4675765481835377
40,1.464655561544765
41,1.4627462682858414
42,1.4600256787298802
43,1.4574446233943277
44,1.4543422247530846
45,1.4529581991100178
46,1.4509508917717253
47,1.4491245226950886
48,1.4483526221244525
49,1.4441400872143606
50,1.4420221677502443
51,1.4408376925602953
52,1.4384896811063514
53,1.4356678724201966
54,1.4344941688962305
55,1.4321704873907934
56,1.4303684335941764
57,1.4294925837554642
58,1.4269809747748181
59,1.425027233941373
60,1.4241701225855676
61,1.4224183889509634
62,1.4208353459467626
63,1.4184818353388042
64,1.4169709268995863
65,1.4181869301352257
66,1.4149797336146739
67,1.4140408555164616
68,1.411736636773088
69,1.4123771649934624
70,1.4093771185172361
71,1.4086540419513818
72,1.4078398503109395
73,1.4067179921755724
74,1.4053415489946417
75,1.4032121225585013
76,1.4037826262203366
77,1.4007808635703536
78,1.4027729836045153
79,1.3991057328712282
80,1.3983233948645326
81,1.396774888876977
82,1.3951420939973138
83,1.3966495208609322
84,1.3955507762489205
85,1.3923881122562909
86,1.3922387635680604
87,1.3938441625555575
88,1.3891125761074856
89,1.3883914530793415
90,1.388596828842358
91,1.3862198421198904
92,1.386412015851618
93,1.3850087782625053
94,1.383724102854598
95,1.3832381959807303
96,1.382285645483198
97,1.381226738751056
98,1.3808999375781394
99,1.3796171610100043
100,1.3790492599802602
101,1.3769035947955544
102,1.3766649598639686
103,1.3761598892844251
104,1.3745100679581275
105,1.3738326104228538
